y,x,group,tooltip,data_id,PANEL,flipped_aes,colour,size,linetype,alpha,x_date
1,18703,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-17
1,18704,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-18
2,18705,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-19
1,18706,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-20
1,18707,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-21
1,18708,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-22
1,18709,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-23
1,18710,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-24
1,18711,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-25
1,18712,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-26
1,18713,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-27
1,18714,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-28
1,18715,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-29
1,18716,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-30
1,18717,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-03-31
1,18718,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-04-01
2,18719,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-04-02
2,18720,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-04-03
1,18721,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-04-04
1,18722,7,"Sample 8, Brooklyn","Sample 8, Brooklyn",1,FALSE,black,0.5,1,,2021-04-05
,18691,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-05
,18692,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-06
26,18693,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-07
26,18694,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-08
26,18695,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-09
30,18696,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-10
30,18697,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-11
30,18698,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-12
30,18699,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-13
29,18700,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-14
29,18701,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-15
21,18702,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-16
23,18703,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-17
23,18704,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-18
23,18705,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-19
22,18706,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-20
22,18707,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-21
22,18708,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-22
21,18709,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-23
21,18710,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-24
21,18711,8,"Sample 9, Brooklyn","Sample 9, Brooklyn",1,FALSE,black,0.5,1,,2021-03-25
